"season","race","session","driver","lap","lap_time","tyre","stint","lap_number","lap_time_seconds","sector1_seconds","sector2_seconds","sector3_seconds","compound","tyre_life","pit_in_time","pit_out_time","is_accurate"
"2024","Bahrain GP","R","VER","10","93.210","MEDIUM","1","10","93.210","30.912","39.104","23.194","MEDIUM","7","","","True"
"2024","Bahrain GP","R","VER","11","92.980","MEDIUM","1","11","92.980","30.801","39.016","23.163","MEDIUM","8","","","True"
"2024","Bahrain GP","R","VER","12","92.760","MEDIUM","1","12","92.760","30.731","38.944","23.085","MEDIUM","9","","","True"
"2024","Bahrain GP","R","VER","13","92.640","MEDIUM","1","13","92.640","30.702","38.884","23.054","MEDIUM","10","","","True"
"2024","Bahrain GP","R","VER","14","92.520","MEDIUM","1","14","92.520","30.655","38.821","23.044","MEDIUM","11","","","True"
"2024","Bahrain GP","R","VER","15","92.410","MEDIUM","1","15","92.410","30.612","38.788","23.010","MEDIUM","12","","","True"
"2024","Bahrain GP","R","VER","16","92.550","MEDIUM","1","16","92.550","30.691","38.813","23.046","MEDIUM","13","","","True"
"2024","Bahrain GP","R","VER","17","92.740","MEDIUM","1","17","92.740","30.766","38.926","23.048","MEDIUM","14","","","True"
"2024","Bahrain GP","R","VER","18","92.920","MEDIUM","1","18","92.920","30.850","39.001","23.069","MEDIUM","15","","","True"
"2024","Bahrain GP","R","VER","19","93.320","MEDIUM","1","19","93.320","31.022","39.172","23.126","MEDIUM","16","","","True"
"2024","Bahrain GP","R","VER","20","93.540","MEDIUM","1","20","93.540","31.104","39.251","23.185","MEDIUM","17","","","True"
"2024","Bahrain GP","R","VER","21","93.780","MEDIUM","1","21","93.780","31.190","39.363","23.227","MEDIUM","18","","","True"
"2024","Bahrain GP","R","PER","10","93.480","MEDIUM","1","10","93.480","31.021","39.211","23.248","MEDIUM","7","","","True"
"2024","Bahrain GP","R","PER","11","93.260","MEDIUM","1","11","93.260","30.942","39.137","23.181","MEDIUM","8","","","True"
"2024","Bahrain GP","R","PER","12","93.050","MEDIUM","1","12","93.050","30.856","39.031","23.163","MEDIUM","9","","","True"
"2024","Bahrain GP","R","PER","13","92.980","MEDIUM","1","13","92.980","30.840","38.979","23.161","MEDIUM","10","","","True"
"2024","Bahrain GP","R","PER","14","92.910","MEDIUM","1","14","92.910","30.803","38.956","23.151","MEDIUM","11","","","True"
"2024","Bahrain GP","R","PER","15","92.860","MEDIUM","1","15","92.860","30.787","38.919","23.154","MEDIUM","12","","","True"
"2024","Bahrain GP","R","PER","16","93.020","MEDIUM","1","16","93.020","30.861","38.996","23.163","MEDIUM","13","","","True"
"2024","Bahrain GP","R","PER","17","93.310","MEDIUM","1","17","93.310","31.006","39.118","23.186","MEDIUM","14","","","True"
"2024","Bahrain GP","R","PER","18","93.760","MEDIUM","1","18","93.760","31.210","39.322","23.228","MEDIUM","15","","","True"
"2024","Bahrain GP","R","PER","19","94.920","MEDIUM","1","19","94.920","31.702","39.891","23.327","MEDIUM","16","","","True"
"2024","Bahrain GP","R","PER","20","95.080","MEDIUM","1","20","95.080","31.780","39.952","23.348","MEDIUM","17","","","True"
"2024","Bahrain GP","R","PER","21","95.340","MEDIUM","1","21","95.340","31.901","40.044","23.395","MEDIUM","18","","","True"
