"lap","delta_seconds","lap_number","driver_a","driver_b","driver_a_lap_time","driver_b_lap_time","cumulative_delta"
"10","-0.270","10","VER","PER","93.210","93.480","-0.270"
"11","-0.280","11","VER","PER","92.980","93.260","-0.550"
"12","-0.290","12","VER","PER","92.760","93.050","-0.840"
"13","-0.340","13","VER","PER","92.640","92.980","-1.180"
"14","-0.390","14","VER","PER","92.520","92.910","-1.570"
"15","-0.450","15","VER","PER","92.410","92.860","-2.020"
"16","-0.470","16","VER","PER","92.550","93.020","-2.490"
"17","-0.570","17","VER","PER","92.740","93.310","-3.060"
"18","-0.840","18","VER","PER","92.920","93.760","-3.900"
"19","-1.600","19","VER","PER","93.320","94.920","-5.500"
"20","-1.540","20","VER","PER","93.540","95.080","-7.040"
"21","-1.560","21","VER","PER","93.780","95.340","-8.600"
